escu_detection,mitre_attack
"ESCU - O365 Multiple AppIDs and UserAgents Authentication Spike - Rule","T1078"
"ESCU - O365 Multiple Failed MFA Requests For User - Rule","T1621"
"ESCU - O365 Multiple Mailboxes Accessed via API - Rule","T1114.002"
"ESCU - O365 Multiple OS Vendors Authenticating From User - Rule","T1110"
"ESCU - O365 Multiple Service Principals Created by SP - Rule","T1136.003"
"ESCU - O365 Multiple Service Principals Created by User - Rule","T1136.003"
"ESCU - O365 Multiple Users Failing To Authenticate From Ip - Rule","T1110.003|T1110.004|T1586.003"
"ESCU - O365 New Email Forwarding Rule Created - Rule","T1114.003"
"ESCU - O365 New Email Forwarding Rule Enabled - Rule","T1114.003"
"ESCU - O365 New Federated Domain Added - Rule","T1136.003"
"ESCU - O365 New Forwarding Mailflow Rule Created - Rule","T1114"
"ESCU - O365 New MFA Method Registered - Rule","T1098.005"
"ESCU - O365 OAuth App Mailbox Access via EWS - Rule","T1114.002"
"ESCU - O365 OAuth App Mailbox Access via Graph API - Rule","T1114.002"
"ESCU - O365 Privileged Graph API Permission Assigned - Rule","T1003.002"
"ESCU - O365 Privileged Role Assigned - Rule","T1098.003"
"ESCU - O365 Privileged Role Assigned To Service Principal - Rule","T1098.003"
"ESCU - O365 PST export alert - Rule","T1114"
"ESCU - O365 Safe Links Detection - Rule","T1566.001"
"ESCU - O365 Security And Compliance Alert Triggered - Rule","T1078.004"
"ESCU - O365 Service Principal New Client Credentials - Rule","T1098.001"
"ESCU - O365 Service Principal Privilege Escalation - Rule","T1098.003"
"ESCU - O365 SharePoint Allowed Domains Policy Changed - Rule","T1136.003"
"ESCU - O365 SharePoint Malware Detection - Rule","T1204.002"
"ESCU - O365 SharePoint Suspicious Search Behavior - Rule","T1213.002|T1552"
"ESCU - O365 Tenant Wide Admin Consent Granted - Rule","T1098.003"
"ESCU - O365 Threat Intelligence Suspicious Email Delivered - Rule","T1566.001|T1566.002"
"ESCU - O365 Threat Intelligence Suspicious File Detected - Rule","T1204.002"
"ESCU - O365 User Consent Blocked for Risky Application - Rule","T1528"
"ESCU - O365 User Consent Denied for OAuth Application - Rule","T1528"
"ESCU - O365 ZAP Activity Detection - Rule","T1566.001|T1566.002"
"ESCU - Okta Non-Standard VPN Usage - Rule","T1078|T1090|T1572"
"ESCU - Risk Rule for Dev Sec Ops by Repository - Rule","T1204.003"
"ESCU - Cobalt Strike Named Pipes - Rule","T1055"
"ESCU - HTTP Suspicious Tool User Agent - Rule","T1071.001"
"ESCU - 7zip CommandLine To SMB Share Path - Rule","T1560.001"
"ESCU - Access LSASS Memory for Dump Creation - Rule","T1003.001"
"ESCU - Active Directory Lateral Movement Identified - Rule","T1210"
"ESCU - Active Directory Privilege Escalation Identified - Rule","T1484"
"ESCU - Active Setup Registry Autostart - Rule","T1547.014"
"ESCU - Add DefaultUser And Password In Registry - Rule","T1552.002"
"ESCU - Add or Set Windows Defender Exclusion - Rule","T1562.001"
"ESCU - AdsiSearcher Account Discovery - Rule","T1087.002"
"ESCU - Advanced IP or Port Scanner Execution - Rule","T1046|T1135"
"ESCU - Allow File And Printing Sharing In Firewall - Rule","T1562.007"
"ESCU - Allow Inbound Traffic By Firewall Rule Registry - Rule","T1021.001"
"ESCU - Allow Inbound Traffic In Firewall Rule - Rule","T1021.001"
"ESCU - Allow Network Discovery In Firewall - Rule","T1562.007"
"ESCU - Allow Operation with Consent Admin - Rule","T1548"
"ESCU - Anomalous usage of 7zip - Rule","T1560.001"
"ESCU - Attacker Tools On Endpoint - Rule","T1003|T1036.005|T1595"
"ESCU - Attempt To Add Certificate To Untrusted Store - Rule","T1553.004"
"ESCU - Auto Admin Logon Registry Entry - Rule","T1552.002"
"ESCU - Batch File Write to System32 - Rule","T1204.002"
"ESCU - Bcdedit Command Back To Normal Mode Boot - Rule","T1490"
"ESCU - BCDEdit Failure Recovery Modification - Rule","T1490"
"ESCU - BITS Job Persistence - Rule","T1197"
"ESCU - BITSAdmin Download File - Rule","T1105|T1197"
"ESCU - CertUtil With Decode Argument - Rule","T1140"
"ESCU - Change To Safe Mode With Network Config - Rule","T1490"
"ESCU - CHCP Command Execution - Rule","T1059"
"ESCU - Check Elevated CMD using whoami - Rule","T1033"
"ESCU - Child Processes of Spoolsv exe - Rule","T1068"
"ESCU - Cisco Isovalent - Access To Cloud Metadata Service - Rule","T1552.005"
"ESCU - Cisco Isovalent - Cron Job Creation - Rule","T1053.003|T1053.007"
"ESCU - Cisco Isovalent - Curl Execution With Insecure Flags - Rule","T1105"
"ESCU - Cisco Isovalent - Kprobe Spike - Rule","T1068"
"ESCU - Cisco Isovalent - Late Process Execution - Rule","T1543"
"ESCU - Cisco Isovalent - Non Allowlisted Image Use - Rule","T1204.003"
"ESCU - Cisco Isovalent - Nsenter Usage in Kubernetes Pod - Rule","T1543"
"ESCU - Cisco Isovalent - Pods Running Offensive Tools - Rule","T1204.003"
"ESCU - Cisco Isovalent - Potential Escape to Host - Rule","T1611"
"ESCU - Cisco Isovalent - Shell Execution - Rule","T1543"
"ESCU - Cisco NVM - Curl Execution With Insecure Flags - Rule","T1197"
"ESCU - Cisco NVM - Installation of Typosquatted Python Package - Rule","T1059"
"ESCU - Cisco NVM - MSHTML or MSHTA Network Execution Without URL in CLI - Rule","T1059.005|T1218.005"
"ESCU - Cisco NVM - Non-Network Binary Making Network Connection - Rule","T1036|T1055"
"ESCU - Cisco NVM - Outbound Connection to Suspicious Port - Rule","T1571"
"ESCU - Cisco NVM - Rclone Execution With Network Activity - Rule","T1567.002"
"ESCU - Cisco NVM - Rundll32 Abuse of MSHTML.DLL for Payload Download - Rule","T1218.005"
"ESCU - Cisco NVM - Susp Script From Archive Triggering Network Activity - Rule","T1059.005|T1204.002"
"ESCU - Cisco NVM - Suspicious Download From File Sharing Website - Rule","T1197"
"ESCU - Cisco NVM - Suspicious File Download via Headless Browser - Rule","T1059|T1105"
"ESCU - Cisco NVM - Suspicious Network Connection From Process With No Args - Rule","T1055|T1218"
"ESCU - Cisco NVM - Suspicious Network Connection Initiated via MsXsl - Rule","T1220"
"ESCU - Cisco NVM - Suspicious Network Connection to IP Lookup Service API - Rule","T1016|T1590.005"
"ESCU - Cisco NVM - Webserver Download From File Sharing Website - Rule","T1105|T1190"
"ESCU - Clear Unallocated Sector Using Cipher App - Rule","T1070.004"
"ESCU - Clop Common Exec Parameter - Rule","T1204"
"ESCU - Clop Ransomware Known Service Name - Rule","T1543"
"ESCU - CMD Carry Out String Command Parameter - Rule","T1059.003"
"ESCU - CMD Echo Pipe - Escalation - Rule","T1059.003|T1543.003"
"ESCU - CMLUA Or CMSTPLUA UAC Bypass - Rule","T1218.003"
"ESCU - Common Ransomware Extensions - Rule","T1485"
"ESCU - Common Ransomware Notes - Rule","T1485"
"ESCU - ConnectWise ScreenConnect Path Traversal - Rule","T1190"
"ESCU - ConnectWise ScreenConnect Path Traversal Windows SACL - Rule","T1190"
"ESCU - Conti Common Exec parameter - Rule","T1204"
"ESCU - Control Loading from World Writable Directory - Rule","T1218.002"
"ESCU - Create or delete windows shares using net exe - Rule","T1070.005"
"ESCU - Create Remote Thread In Shell Application - Rule","T1055"
"ESCU - Create Remote Thread into LSASS - Rule","T1003.001"
"ESCU - Creation of lsass Dump with Taskmgr - Rule","T1003.001"
"ESCU - Creation of Shadow Copy - Rule","T1003.003"
"ESCU - Creation of Shadow Copy with wmic and powershell - Rule","T1003.003"
"ESCU - Credential Dumping via Copy Command from Shadow Copy - Rule","T1003.003"
"ESCU - Credential Dumping via Symlink to Shadow Copy - Rule","T1003.003"
"ESCU - Crowdstrike Admin Weak Password Policy - Rule","T1110"
"ESCU - Crowdstrike Admin With Duplicate Password - Rule","T1110"
"ESCU - Crowdstrike High Identity Risk Severity - Rule","T1110"
"ESCU - Crowdstrike Medium Identity Risk Severity - Rule","T1110"
"ESCU - Crowdstrike Medium Severity Alert - Rule","T1110"
"ESCU - Crowdstrike Multiple LOW Severity Alerts - Rule","T1110"
"ESCU - Crowdstrike Privilege Escalation For Non-Admin User - Rule","T1110"
"ESCU - Crowdstrike User Weak Password Policy - Rule","T1110"
"ESCU - Crowdstrike User with Duplicate Password - Rule","T1110"
"ESCU - CSC Net On The Fly Compilation - Rule","T1027.004"
"ESCU - Delete ShadowCopy With PowerShell - Rule","T1490"
"ESCU - Deleting Shadow Copies - Rule","T1490"
"ESCU - Detect AzureHound Command-Line Arguments - Rule","T1069.001|T1069.002|T1087.001|T1087.002|T1482"
"ESCU - Detect AzureHound File Modifications - Rule","T1069.001|T1069.002|T1087.001|T1087.002|T1482"
"ESCU - Detect Baron Samedit CVE-2021-3156 - Rule","T1068"
"ESCU - Detect Baron Samedit CVE-2021-3156 Segfault - Rule","T1068"
"ESCU - Detect Baron Samedit CVE-2021-3156 via OSQuery - Rule","T1068"
"ESCU - Detect Certify Command Line Arguments - Rule","T1105|T1649"
"ESCU - Detect Certify With PowerShell Script Block Logging - Rule","T1059.001|T1649"
"ESCU - Detect Certipy File Modifications - Rule","T1560|T1649"
"ESCU - Detect Computer Changed with Anonymous Account - Rule","T1210"
"ESCU - Detect Copy of ShadowCopy with Script Block Logging - Rule","T1003.002"
"ESCU - Detect Credential Dumping through LSASS access - Rule","T1003.001"
"ESCU - Detect Empire with PowerShell Script Block Logging - Rule","T1059.001"
"ESCU - Detect Excessive Account Lockouts From Endpoint - Rule","T1078.002"
"ESCU - Detect Excessive User Account Lockouts - Rule","T1078.003"
"ESCU - Detect Exchange Web Shell - Rule","T1133|T1190|T1505.003"
"ESCU - Detect HTML Help Renamed - Rule","T1218.001"
"ESCU - Detect HTML Help URL in Command Line - Rule","T1218.001"
"ESCU - Detect HTML Help Using InfoTech Storage Handlers - Rule","T1218.001"
"ESCU - Detect Mimikatz With PowerShell Script Block Logging - Rule","T1003|T1059.001"
"ESCU - Detect mshta inline hta execution - Rule","T1218.005"
"ESCU - Detect mshta renamed - Rule","T1218.005"
"ESCU - Detect MSHTA Url in Command Line - Rule","T1218.005"
"ESCU - Detect New Local Admin account - Rule","T1136.001"
"ESCU - Detect Outlook exe writing a zip file - Rule","T1566.001"
"ESCU - Detect Password Spray Attack Behavior From Source - Rule","T1110.003"
"ESCU - Detect Password Spray Attack Behavior On User - Rule","T1110.003"
"ESCU - Detect Path Interception By Creation Of program exe - Rule","T1574.009"
"ESCU - Detect Prohibited Applications Spawning cmd exe - Rule","T1059.003"
"ESCU - Detect PsExec With accepteula Flag - Rule","T1021.002"
"ESCU - Detect Rare Executables - Rule","T1204"
"ESCU - Detect RClone Command-Line Usage - Rule","T1020"
"ESCU - Detect Regasm Spawning a Process - Rule","T1218.009"
"ESCU - Detect Regasm with Network Connection - Rule","T1218.009"
"ESCU - Detect Regasm with no Command Line Arguments - Rule","T1218.009"
"ESCU - Detect Regsvcs Spawning a Process - Rule","T1218.009"
"ESCU - Detect Regsvcs with Network Connection - Rule","T1218.009"
"ESCU - Detect Regsvcs with No Command Line Arguments - Rule","T1218.009"
"ESCU - Detect Regsvr32 Application Control Bypass - Rule","T1218.010"
"ESCU - Detect Remote Access Software Usage File - Rule","T1219"
"ESCU - Detect Remote Access Software Usage FileInfo - Rule","T1219"
"ESCU - Detect Remote Access Software Usage Process - Rule","T1219"
"ESCU - Detect Remote Access Software Usage Registry - Rule","T1219"
"ESCU - Detect Renamed 7-Zip - Rule","T1560.001"
"ESCU - Detect Renamed PSExec - Rule","T1569.002"
"ESCU - Detect Renamed RClone - Rule","T1020"
"ESCU - Detect Renamed WinRAR - Rule","T1560.001"
"ESCU - Detect RTLO In File Name - Rule","T1036.002"
"ESCU - Detect RTLO In Process - Rule","T1036.002"
"ESCU - Detect Rundll32 Inline HTA Execution - Rule","T1218.005"
"ESCU - Detect SharpHound Command-Line Arguments - Rule","T1069.001|T1069.002|T1087.001|T1087.002|T1482"
"ESCU - Detect SharpHound File Modifications - Rule","T1069.001|T1069.002|T1087.001|T1087.002|T1482"
"ESCU - Detect SharpHound Usage - Rule","T1069.001|T1069.002|T1087.001|T1087.002|T1482"
"ESCU - Detect suspicious processnames using pretrained model in DSDL - Rule","T1059"
"ESCU - Detect Use of cmd exe to Launch Script Interpreters - Rule","T1059.003"
"ESCU - Detect WMI Event Subscription Persistence - Rule","T1546.003"
"ESCU - Detection of tools built by NirSoft - Rule","T1072"
"ESCU - Disable AMSI Through Registry - Rule","T1562.001"
"ESCU - Disable Defender AntiVirus Registry - Rule","T1562.001"
"ESCU - Disable Defender BlockAtFirstSeen Feature - Rule","T1562.001"
"ESCU - Disable Defender Enhanced Notification - Rule","T1562.001"
"ESCU - Disable Defender MpEngine Registry - Rule","T1562.001"
"ESCU - Disable Defender Spynet Reporting - Rule","T1562.001"
"ESCU - Disable Defender Submit Samples Consent Feature - Rule","T1562.001"
"ESCU - Disable ETW Through Registry - Rule","T1562.001"
"ESCU - Disable Logs Using WevtUtil - Rule","T1070.001"
"ESCU - Disable Registry Tool - Rule","T1112|T1562.001"
"ESCU - Disable Schedule Task - Rule","T1562.001"
"ESCU - Disable Security Logs Using MiniNt Registry - Rule","T1112"
"ESCU - Disable Show Hidden Files - Rule","T1112|T1562.001|T1564.001"
"ESCU - Disable UAC Remote Restriction - Rule","T1548.002"
"ESCU - Disable Windows App Hotkeys - Rule","T1112|T1562.001"
"ESCU - Disable Windows Behavior Monitoring - Rule","T1562.001"
"ESCU - Disable Windows SmartScreen Protection - Rule","T1562.001"
"ESCU - Disabled Kerberos Pre-Authentication Discovery With Get-ADUser - Rule","T1558.004"
"ESCU - Disabled Kerberos Pre-Authentication Discovery With PowerView - Rule","T1558.004"
"ESCU - Disabling CMD Application - Rule","T1112|T1562.001"
"ESCU - Disabling ControlPanel - Rule","T1112|T1562.001"
"ESCU - Disabling Defender Services - Rule","T1562.001"
"ESCU - Disabling Firewall with Netsh - Rule","T1562.001"
"ESCU - Disabling FolderOptions Windows Feature - Rule","T1562.001"
"ESCU - Disabling NoRun Windows App - Rule","T1112|T1562.001"
"ESCU - Disabling Remote User Account Control - Rule","T1548.002"
"ESCU - Disabling SystemRestore In Registry - Rule","T1490"
"ESCU - Disabling Task Manager - Rule","T1562.001"
"ESCU - Disabling Windows Local Security Authority Defences via Registry - Rule","T1556"
"ESCU - DLLHost with no Command Line Arguments with Network - Rule","T1055"
"ESCU - DNS Exfiltration Using Nslookup App - Rule","T1048"
"ESCU - Domain Account Discovery with Dsquery - Rule","T1087.002"
"ESCU - Domain Account Discovery with Wmic - Rule","T1087.002"
"ESCU - Domain Controller Discovery with Nltest - Rule","T1018"
"ESCU - Domain Controller Discovery with Wmic - Rule","T1018"
"ESCU - Domain Group Discovery with Adsisearcher - Rule","T1069.002"
"ESCU - Domain Group Discovery With Dsquery - Rule","T1069.002"
"ESCU - Domain Group Discovery With Wmic - Rule","T1069.002"
"ESCU - Download Files Using Telegram - Rule","T1105"
"ESCU - Drop IcedID License dat - Rule","T1204.002"
"ESCU - DSQuery Domain Discovery - Rule","T1482"
"ESCU - Dump LSASS via comsvcs DLL - Rule","T1003.001"
"ESCU - Dump LSASS via procdump - Rule","T1003.001"
"ESCU - Elevated Group Discovery with PowerView - Rule","T1069.002"
"ESCU - Elevated Group Discovery With Wmic - Rule","T1069.002"
"ESCU - Enable RDP In Other Port Number - Rule","T1021"
"ESCU - Enable WDigest UseLogonCredential Registry - Rule","T1003|T1112"
"ESCU - Enumerate Users Local Group Using Telegram - Rule","T1087"
"ESCU - Esentutl SAM Copy - Rule","T1003.002"
"ESCU - ETW Registry Disabled - Rule","T1127|T1562.006"
"ESCU - Eventvwr UAC Bypass - Rule","T1548.002"
"ESCU - Excessive Attempt To Disable Services - Rule","T1489"
"ESCU - Excessive distinct processes from Windows Temp - Rule","T1059"
"ESCU - Excessive File Deletion In WinDefender Folder - Rule","T1485"
"ESCU - Excessive number of service control start as disabled - Rule","T1562.001"
"ESCU - Excessive number of taskhost processes - Rule","T1059"
"ESCU - Excessive Usage Of Cacls App - Rule","T1222"
"ESCU - Excessive Usage of NSLOOKUP App - Rule","T1048"
"ESCU - Excessive Usage Of SC Service Utility - Rule","T1569.002"
"ESCU - Excessive Usage Of Taskkill - Rule","T1562.001"
"ESCU - Exchange PowerShell Abuse via SSRF - Rule","T1133|T1190"
"ESCU - Exchange PowerShell Module Usage - Rule","T1059.001"
"ESCU - Executable File Written in Administrative SMB Share - Rule","T1021.002"
"ESCU - Executables Or Script Creation In Suspicious Path - Rule","T1036"
"ESCU - Executables Or Script Creation In Temp Path - Rule","T1036"
"ESCU - Execute Javascript With Jscript COM CLSID - Rule","T1059.005"
"ESCU - Execution of File with Multiple Extensions - Rule","T1036.003"
"ESCU - File Download or Read to Pipe Execution - Rule","T1105"
"ESCU - Firewall Allowed Program Enable - Rule","T1562.004"
"ESCU - First Time Seen Child Process of Zoom - Rule","T1068"
"ESCU - First Time Seen Running Windows Service - Rule","T1569.002"
"ESCU - FodHelper UAC Bypass - Rule","T1112|T1548.002"
"ESCU - Fsutil Zeroing File - Rule","T1070"
"ESCU - Get ADDefaultDomainPasswordPolicy with Powershell - Rule","T1201"
"ESCU - Get ADDefaultDomainPasswordPolicy with Powershell Script Block - Rule","T1201"
"ESCU - Get ADUser with PowerShell - Rule","T1087.002"
"ESCU - Get ADUser with PowerShell Script Block - Rule","T1087.002"
"ESCU - Get ADUserResultantPasswordPolicy with Powershell - Rule","T1201"
"ESCU - Get ADUserResultantPasswordPolicy with Powershell Script Block - Rule","T1201"
"ESCU - Get DomainPolicy with Powershell - Rule","T1201"
"ESCU - Get DomainPolicy with Powershell Script Block - Rule","T1201"
"ESCU - Get-DomainTrust with PowerShell - Rule","T1482"
"ESCU - Get-DomainTrust with PowerShell Script Block - Rule","T1482"
"ESCU - Get DomainUser with PowerShell - Rule","T1087.002"
"ESCU - Get DomainUser with PowerShell Script Block - Rule","T1087.002"
"ESCU - Get-ForestTrust with PowerShell - Rule","T1482"
"ESCU - Get-ForestTrust with PowerShell Script Block - Rule","T1059.001|T1482"
"ESCU - Get WMIObject Group Discovery - Rule","T1069.001"
"ESCU - Get WMIObject Group Discovery with Script Block Logging - Rule","T1069.001"
"ESCU - GetAdComputer with PowerShell - Rule","T1018"
"ESCU - GetAdComputer with PowerShell Script Block - Rule","T1018"
"ESCU - GetAdGroup with PowerShell - Rule","T1069.002"
"ESCU - GetAdGroup with PowerShell Script Block - Rule","T1069.002"
"ESCU - GetCurrent User with PowerShell - Rule","T1033"
"ESCU - GetCurrent User with PowerShell Script Block - Rule","T1033"
"ESCU - GetDomainComputer with PowerShell - Rule","T1018"
"ESCU - GetDomainComputer with PowerShell Script Block - Rule","T1018"
"ESCU - GetDomainController with PowerShell - Rule","T1018"
"ESCU - GetDomainController with PowerShell Script Block - Rule","T1018"
"ESCU - GetDomainGroup with PowerShell - Rule","T1069.002"
"ESCU - GetDomainGroup with PowerShell Script Block - Rule","T1069.002"
"ESCU - GetLocalUser with PowerShell - Rule","T1087.001"
"ESCU - GetLocalUser with PowerShell Script Block - Rule","T1059.001|T1087.001"
"ESCU - GetNetTcpconnection with PowerShell - Rule","T1049"
"ESCU - GetNetTcpconnection with PowerShell Script Block - Rule","T1049"
"ESCU - GetWmiObject Ds Computer with PowerShell - Rule","T1018"
"ESCU - GetWmiObject Ds Computer with PowerShell Script Block - Rule","T1018"
"ESCU - GetWmiObject Ds Group with PowerShell - Rule","T1069.002"
"ESCU - GetWmiObject Ds Group with PowerShell Script Block - Rule","T1069.002"
"ESCU - GetWmiObject DS User with PowerShell - Rule","T1087.002"
"ESCU - GetWmiObject DS User with PowerShell Script Block - Rule","T1087.002"
"ESCU - GetWmiObject User Account with PowerShell - Rule","T1087.001"
"ESCU - GetWmiObject User Account with PowerShell Script Block - Rule","T1059.001|T1087.001"
"ESCU - GitHub Workflow File Creation or Modification - Rule","T1195|T1554|T1574.006"
"ESCU - GPUpdate with no Command Line Arguments with Network - Rule","T1055"
"ESCU - Headless Browser Mockbin or Mocky Request - Rule","T1564.003"
"ESCU - Headless Browser Usage - Rule","T1497|T1564.003"
"ESCU - Hide User Account From Sign-In Screen - Rule","T1562.001"
"ESCU - Hiding Files And Directories With Attrib exe - Rule","T1222.001"
"ESCU - High Frequency Copy Of Files In Network Share - Rule","T1537"
"ESCU - High Process Termination Frequency - Rule","T1486"
"ESCU - Hunting 3CXDesktopApp Software - Rule","T1195.002"
"ESCU - Icacls Deny Command - Rule","T1222"
"ESCU - ICACLS Grant Command - Rule","T1222"
"ESCU - IcedID Exfiltrated Archived File Creation - Rule","T1560.001"
"ESCU - Impacket Lateral Movement Commandline Parameters - Rule","T1021.002|T1021.003|T1047|T1543.003"
"ESCU - Impacket Lateral Movement smbexec CommandLine Parameters - Rule","T1021.002|T1021.003|T1047|T1543.003"
"ESCU - Impacket Lateral Movement WMIExec Commandline Parameters - Rule","T1021.002|T1021.003|T1047|T1543.003"
"ESCU - Interactive Session on Remote Endpoint with PowerShell - Rule","T1021.006"
"ESCU - Java Writing JSP File - Rule","T1133|T1190"
"ESCU - Jscript Execution Using Cscript App - Rule","T1059.007"
"ESCU - Kerberoasting spn request with RC4 encryption - Rule","T1558.003"
"ESCU - Kerberos Pre-Authentication Flag Disabled in UserAccountControl - Rule","T1558.004"
"ESCU - Kerberos Pre-Authentication Flag Disabled with PowerShell - Rule","T1558.004"
"ESCU - Kerberos Service Ticket Request Using RC4 Encryption - Rule","T1558.001"
"ESCU - Kerberos TGT Request Using RC4 Encryption - Rule","T1550"
"ESCU - Kerberos User Enumeration - Rule","T1589.002"
"ESCU - Linux Account Manipulation Of SSH Config and Keys - Rule","T1070.004|T1485"
"ESCU - Linux Add Files In Known Crontab Directories - Rule","T1053.003"
"ESCU - Linux Add User Account - Rule","T1136.001"
"ESCU - Linux Adding Crontab Using List Parameter - Rule","T1053.003"
"ESCU - Linux apt-get Privilege Escalation - Rule","T1548.003"
"ESCU - Linux APT Privilege Escalation - Rule","T1548.003"
"ESCU - Linux At Allow Config File Creation - Rule","T1053.003"
"ESCU - Linux At Application Execution - Rule","T1053.002"
"ESCU - Linux Auditd Add User Account - Rule","T1136.001"
"ESCU - Linux Auditd Add User Account Type - Rule","T1136.001"
"ESCU - Linux Auditd At Application Execution - Rule","T1053.002"
"ESCU - Linux Auditd Auditd Daemon Abort - Rule","T1562.012"
"ESCU - Linux Auditd Auditd Daemon Shutdown - Rule","T1562.012"
"ESCU - Linux Auditd Auditd Daemon Start - Rule","T1562.012"
"ESCU - Linux Auditd Auditd Service Stop - Rule","T1489"
"ESCU - Linux Auditd Base64 Decode Files - Rule","T1140"
"ESCU - Linux Auditd Change File Owner To Root - Rule","T1222.002"
"ESCU - Linux Auditd Clipboard Data Copy - Rule","T1115"
"ESCU - Linux Auditd Data Destruction Command - Rule","T1485"
"ESCU - Linux Auditd Data Transfer Size Limits Via Split - Rule","T1030"
"ESCU - Linux Auditd Data Transfer Size Limits Via Split Syscall - Rule","T1030"
"ESCU - Linux Auditd Database File And Directory Discovery - Rule","T1083"
"ESCU - Linux Auditd Dd File Overwrite - Rule","T1485"
"ESCU - Linux Auditd Disable Or Modify System Firewall - Rule","T1562.004"
"ESCU - Linux Auditd Doas Conf File Creation - Rule","T1548.003"
"ESCU - Linux Auditd Doas Tool Execution - Rule","T1548.003"
"ESCU - Linux Auditd Edit Cron Table Parameter - Rule","T1053.003"
"ESCU - Linux Auditd File And Directory Discovery - Rule","T1083"
"ESCU - Linux Auditd File Permission Modification Via Chmod - Rule","T1222.002"
"ESCU - Linux Auditd File Permissions Modification Via Chattr - Rule","T1222.002"
"ESCU - Linux Auditd Find Credentials From Password Managers - Rule","T1555.005"
"ESCU - Linux Auditd Find Credentials From Password Stores - Rule","T1555.005"
"ESCU - Linux Auditd Find Ssh Private Keys - Rule","T1552.004"
"ESCU - Linux Auditd Hardware Addition Swapoff - Rule","T1200"
"ESCU - Linux Auditd Hidden Files And Directories Creation - Rule","T1083"
"ESCU - Linux Auditd Insert Kernel Module Using Insmod Utility - Rule","T1547.006"
"ESCU - Linux Auditd Install Kernel Module Using Modprobe Utility - Rule","T1547.006"
"ESCU - Linux Auditd Kernel Module Enumeration - Rule","T1014|T1082"
"ESCU - Linux Auditd Kernel Module Using Rmmod Utility - Rule","T1547.006"
"ESCU - Linux Auditd Nopasswd Entry In Sudoers File - Rule","T1548.003"
"ESCU - Linux Auditd Osquery Service Stop - Rule","T1489"
"ESCU - Linux Auditd Possible Access Or Modification Of Sshd Config File - Rule","T1098.004"
"ESCU - Linux Auditd Possible Access To Credential Files - Rule","T1003.008"
"ESCU - Linux Auditd Possible Access To Sudoers File - Rule","T1548.003"
"ESCU - Linux Auditd Possible Append Cronjob Entry On Existing Cronjob File - Rule","T1053.003"
"ESCU - Linux Auditd Preload Hijack Library Calls - Rule","T1574.006"
"ESCU - Linux Auditd Preload Hijack Via Preload File - Rule","T1574.006"
"ESCU - Linux Auditd Private Keys and Certificate Enumeration - Rule","T1552.004"
"ESCU - Linux Auditd Service Restarted - Rule","T1053.006"
"ESCU - Linux Auditd Service Started - Rule","T1569.002"
"ESCU - Linux Auditd Setuid Using Chmod Utility - Rule","T1548.001"
"ESCU - Linux Auditd Setuid Using Setcap Utility - Rule","T1548.001"
"ESCU - Linux Auditd Shred Overwrite Command - Rule","T1485"
"ESCU - Linux Auditd Stop Services - Rule","T1489"
"ESCU - Linux Auditd Sudo Or Su Execution - Rule","T1548.003"
"ESCU - Linux Auditd Sysmon Service Stop - Rule","T1489"
"ESCU - Linux Auditd System Network Configuration Discovery - Rule","T1016"
"ESCU - Linux Auditd Unix Shell Configuration Modification - Rule","T1546.004"
"ESCU - Linux Auditd Unload Module Via Modprobe - Rule","T1547.006"
"ESCU - Linux Auditd Virtual Disk File And Directory Discovery - Rule","T1083"
"ESCU - Linux Auditd Whoami User Discovery - Rule","T1033"
"ESCU - Linux AWK Privilege Escalation - Rule","T1548.003"
"ESCU - Linux Busybox Privilege Escalation - Rule","T1548.003"
"ESCU - Linux c89 Privilege Escalation - Rule","T1548.003"
"ESCU - Linux c99 Privilege Escalation - Rule","T1548.003"
"ESCU - Linux Change File Owner To Root - Rule","T1222.002"
"ESCU - Linux Clipboard Data Copy - Rule","T1115"
"ESCU - Linux Common Process For Elevation Control - Rule","T1548.001"
"ESCU - Linux Composer Privilege Escalation - Rule","T1548.003"
"ESCU - Linux Cpulimit Privilege Escalation - Rule","T1548.003"
"ESCU - Linux Csvtool Privilege Escalation - Rule","T1548.003"
"ESCU - Linux Curl Upload File - Rule","T1105"
"ESCU - Linux Data Destruction Command - Rule","T1485"
"ESCU - Linux DD File Overwrite - Rule","T1485"
"ESCU - Linux Decode Base64 to Shell - Rule","T1027|T1059.004"
"ESCU - Linux Deleting Critical Directory Using RM Command - Rule","T1485"
"ESCU - Linux Deletion Of Cron Jobs - Rule","T1070.004|T1485"
"ESCU - Linux Deletion Of Init Daemon Script - Rule","T1070.004|T1485"
"ESCU - Linux Deletion Of Services - Rule","T1070.004|T1485"
"ESCU - Linux Deletion of SSL Certificate - Rule","T1070.004|T1485"
"ESCU - Linux Disable Services - Rule","T1489"
"ESCU - Linux Doas Conf File Creation - Rule","T1548.003"
"ESCU - Linux Doas Tool Execution - Rule","T1548.003"
"ESCU - Linux Docker Privilege Escalation - Rule","T1548.003"
"ESCU - Linux Edit Cron Table Parameter - Rule","T1053.003"
"ESCU - Linux Emacs Privilege Escalation - Rule","T1548.003"
"ESCU - Linux File Created In Kernel Driver Directory - Rule","T1547.006"
"ESCU - Linux File Creation In Init Boot Directory - Rule","T1037.004"
"ESCU - Linux File Creation In Profile Directory - Rule","T1546.004"
"ESCU - Linux Find Privilege Escalation - Rule","T1548.003"
"ESCU - Linux GDB Privilege Escalation - Rule","T1548.003"
